Delivery;Shipment;Plate;DriverName
5999011296;1956157;X888XX777;Robotov Android
5999011297;1956157;X888XX777;Robotov Android
5999011298;1956157;X888XX777;Robotov Android
5999011299;1956157;X888XX777;Robotov Android
5999011300;1956157;X888XX777;Robotov Android
5999011301;1956157;X888XX777;Robotov Android
5999011302;1956157;X888XX777;Robotov Android
5999011303;1956157;X888XX777;Robotov Android
5999011304;1956157;X888XX777;Robotov Android
5999011305;1956157;X888XX777;Robotov Android
5999011306;1956157;X888XX777;Robotov Android
5999011307;1956157;X888XX777;Robotov Android
