Delivery;Shipment;Plate;DriverName
5999011338;3189649;X888XX777;Robotov Android
5999011339;3189649;X888XX777;Robotov Android
5999011340;3189649;X888XX777;Robotov Android
5999011341;3189649;X888XX777;Robotov Android
5999011342;3189649;X888XX777;Robotov Android
5999011343;3189649;X888XX777;Robotov Android
5999011344;3189649;X888XX777;Robotov Android
5999011345;3189649;X888XX777;Robotov Android
5999011346;3189649;X888XX777;Robotov Android
5999011347;3189649;X888XX777;Robotov Android
5999011348;3189649;X888XX777;Robotov Android
5999011349;3189649;X888XX777;Robotov Android
5999011350;3189649;X888XX777;Robotov Android
5999011351;3189649;X888XX777;Robotov Android
5999011352;3189649;X888XX777;Robotov Android
